订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,80,53,35,213,2376,84
2,65,82,38,15,788,1885,109
3,95,30,40,65,25,2481,96
4,40,15,42,58,8,1225,67
5,10,35,85,25,781,2673,120
6,33,32,0,40,1063,2826,50
7,42,58,8,45,8,1506,68
8,75,55,10,40,593,2085,99
9,35,69,53,30,308,2858,66
10,20,55,75,55,303,2085,84
11,20,80,40,15,1065,2376,103
12,62,80,32,20,881,2073,111
13,85,35,55,80,407,2863,97
14,38,5,55,80,407,1602,117
15,5,35,55,85,502,1036,113
16,58,70,20,80,1073,2376,63
17,47,35,75,55,588,2085,52
18,72,55,44,25,871,1992,62
19,35,66,53,35,213,2951,56
20,20,55,50,35,120,463,54
21,25,85,50,30,401,2279,98
22,62,80,25,30,881,2360,104
23,85,35,52,75,311,2863,93
24,38,5,87,30,1442,2768,82
25,8,40,15,75,685,1902,56
26,25,35,22,75,2385,2565,74
27,48,30,20,85,493,2094,95
28,62,69,53,30,308,1327,78
29,45,70,38,15,213,1885,86
30,25,50,67,85,116,854,83
31,15,80,47,35,588,1997,84
32,58,75,35,5,978,1695,111
33,87,30,62,69,1167,2768,70
34,40,5,22,66,1350,2664,96
35,5,45,44,25,871,1413,75
36,33,35,56,64,1355,2733,68
37,47,35,0,45,588,1318,80
38,75,55,5,45,1253,2085,105
39,40,65,72,55,25,1992,52
40,20,50,60,60,398,1611,61
41,20,85,40,5,1350,2094,122
42,72,45,34,25,2009,3060,83
43,87,30,8,45,1346,2768,121
44,38,10,55,85,502,1790,114
45,10,35,34,60,781,3047,52
46,30,35,25,85,2119,2640,83
47,47,35,8,40,588,845,67
48,58,70,47,35,588,1233,68
49,35,66,5,35,876,2951,76
50,30,56,5,35,876,3143,49
