订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,15,80,63,23,136,1997,113
2,58,75,37,31,95,1138,74
3,90,35,2,60,41,2291,144
4,40,15,11,31,101,1225,50
5,10,35,56,39,142,941,75
6,25,30,63,65,143,2360,78
7,53,35,11,31,101,373,62
8,60,55,10,20,75,3279,102
9,35,69,47,16,35,2858,84
10,20,50,57,29,140,558,67
11,22,85,44,17,78,2186,109
12,55,80,17,34,162,567,95
13,87,30,35,40,37,2768,80
14,38,15,6,38,32,1885,60
15,8,40,15,10,32,845,48
16,25,35,53,12,130,2545,54
17,53,35,24,12,31,373,56
18,60,55,46,13,149,3279,79
19,35,66,35,17,50,2951,79
20,20,50,56,37,182,558,59
21,22,85,37,56,182,2186,52
22,72,45,15,77,73,3060,102
23,72,45,20,26,83,3060,100
24,38,10,11,31,101,1790,53
25,5,45,41,37,39,1413,67
26,30,35,61,52,96,2640,59
27,47,35,5,30,157,748,71
28,60,60,45,30,132,1611,51
29,45,65,45,10,97,278,91
30,20,50,65,20,172,558,84
31,15,80,42,7,97,1997,120
32,67,85,22,27,135,854,110
33,87,30,47,47,124,2768,66
34,42,10,15,47,55,1320,81
35,0,40,5,5,83,1223,55
36,72,45,45,20,62,3060,77
37,47,35,18,18,185,748,58
38,60,60,2,60,41,1611,87
39,35,66,25,30,99,2951,64
40,60,66,31,52,50,1421,52
41,20,85,17,34,162,2094,75
42,67,85,63,23,136,854,94
43,92,30,37,56,182,2574,90
44,40,15,31,52,50,1225,59
45,10,40,49,42,73,753,59
46,26,32,67,5,83,2452,73
47,50,30,14,37,44,561,60
48,65,55,41,37,39,1896,61
49,45,70,37,31,95,373,62
50,28,52,15,10,22,182,68
