订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,62,69,50,35,63,1327,72
2,62,80,28,18,93,1041,116
3,90,35,20,65,67,2291,122
4,40,15,6,38,32,1225,62
5,8,45,53,12,130,1506,84
6,25,30,49,73,127,2360,75
7,50,40,15,77,25,185,88
8,60,60,26,35,176,1611,64
9,45,70,20,26,83,373,77
10,20,55,55,60,97,463,55
11,15,75,41,37,39,1902,82
12,60,85,15,60,76,757,90
13,85,25,17,34,162,2673,113
14,44,5,50,35,63,1416,52
15,2,40,55,60,97,1131,85
16,35,32,23,3,132,2918,50
17,48,30,17,34,162,653,57
18,65,60,32,12,101,1706,89
19,45,70,37,31,95,373,62
20,25,52,10,20,75,369,54
21,22,75,5,5,83,2565,122
22,65,82,24,58,58,948,72
23,95,30,15,77,73,2481,137
24,44,5,10,20,75,1416,55
25,10,35,53,52,37,941,72
26,35,32,15,60,76,2918,53
27,53,30,21,24,18,468,55
28,60,60,53,12,130,1611,73
29,35,66,53,12,130,2951,89
30,25,50,56,37,116,276,54
31,15,75,55,60,97,1902,71
32,55,80,13,52,165,567,84
33,85,35,49,73,127,2863,94
34,35,5,62,77,51,1695,118
35,10,40,35,17,50,753,51
36,25,30,60,12,44,2360,62
37,47,40,8,56,12,172,79
38,72,55,10,43,95,1992,95
39,45,65,17,34,118,278,66
40,72,45,35,17,50,3060,90
41,25,85,18,18,185,2279,104
42,65,82,22,22,18,948,111
43,95,30,27,43,52,2481,101
44,40,5,55,45,116,1510,65
45,5,35,35,40,37,1036,58
46,25,35,27,69,34,2545,64
47,53,30,15,60,76,468,73
48,70,58,15,47,55,1801,92
49,45,65,46,13,118,278,87
50,20,50,49,11,69,558,79
