订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,15,75,27,43,52,1902,67
2,55,80,67,5,83,567,114
3,87,30,23,3,132,2768,105
4,40,5,10,20,75,1510,51
5,62,69,5,5,83,1327,142
6,42,58,21,24,8,168,80
7,53,35,24,58,58,373,56
8,70,58,31,52,50,1801,67
9,45,65,30,5,61,278,99
10,60,66,12,24,76,1421,96
11,15,80,12,24,76,1997,90
12,58,75,45,10,97,1138,100
13,87,30,13,52,165,2768,116
14,40,15,8,56,51,1225,79
15,0,40,57,48,92,1223,86
16,25,35,30,5,61,2545,49
17,48,30,5,5,83,653,89
18,65,55,36,26,200,1896,77
19,72,45,14,37,44,3060,102
20,28,52,5,5,22,182,80
21,20,85,18,18,185,2094,99
22,58,75,53,43,179,1138,49
23,87,30,15,19,160,2768,110
24,16,42,57,68,77,657,91
25,0,40,23,3,132,1223,66
26,72,45,8,56,51,3060,107
27,53,35,20,40,87,373,49
28,65,60,25,24,39,1706,81
29,35,69,64,42,63,2858,59
30,20,55,62,77,51,463,75
31,22,75,24,12,31,2565,110
32,58,70,6,38,32,1233,101
33,92,30,22,22,18,2574,104
34,35,5,14,37,44,1695,67
35,2,40,57,68,77,1131,93
36,33,35,65,55,117,2733,69
37,50,30,63,65,143,561,55
38,60,55,8,56,51,3279,84
39,45,70,18,18,185,373,89
40,30,56,15,10,32,3143,74
41,22,85,55,54,94,2186,73
42,67,85,6,38,32,854,116
43,85,35,31,67,95,2863,108
44,40,15,15,60,76,1225,78
45,5,35,41,37,39,1036,67
46,26,32,53,52,37,2452,50
47,50,40,24,12,25,185,58
48,72,55,55,5,68,1992,80
49,45,70,11,31,101,373,78
50,20,50,55,5,68,558,91
