订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,25,30,99,2186,83
2,67,85,53,52,37,854,54
3,85,25,65,55,117,2673,57
4,40,5,26,52,74,1510,74
5,10,40,45,30,132,753,55
6,42,58,2,60,8,168,68
7,47,40,67,5,12,172,60
8,72,55,21,24,18,1992,90
9,45,70,27,43,52,373,49
10,25,50,61,52,96,276,56
11,72,45,22,22,18,3060,100
12,58,75,20,65,67,1138,59
13,16,42,55,20,149,657,82
14,38,15,62,77,51,1885,100
15,2,40,62,77,51,1131,106
16,30,35,60,12,44,2640,58
17,56,64,60,12,44,1515,80
18,70,58,65,20,172,1801,59
19,40,65,25,21,25,185,73
20,30,56,4,18,94,3143,69
21,15,75,25,30,99,1902,86
22,67,85,49,58,88,854,49
23,85,35,35,40,37,2863,87
24,44,5,18,24,188,1416,48
25,0,40,41,49,161,1223,63
26,16,42,30,5,61,657,69
27,72,45,55,5,68,3060,90
28,60,60,18,24,188,1611,83
29,40,65,6,68,25,185,53
30,30,50,60,12,10,170,87
31,15,80,37,47,50,1997,61
32,65,82,27,43,52,948,82
33,90,35,37,31,95,2291,84
34,38,15,55,45,116,1885,52
35,10,40,53,52,37,753,67
36,60,66,40,25,85,1421,67
37,53,35,14,37,44,373,58
38,60,55,55,5,68,3279,88
39,35,69,46,13,149,2858,89
40,25,50,55,45,116,276,49
41,15,75,22,22,18,1902,98
42,62,80,45,20,62,1041,103
43,87,30,8,56,51,2768,125
44,58,70,20,20,134,1233,106
45,5,35,37,56,182,1036,66
46,33,32,49,58,88,2826,52
47,53,35,11,31,101,373,62
48,65,55,21,24,18,1896,97
49,35,66,11,14,69,2951,95
50,20,50,57,68,77,558,61
