订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,88,35,109,589,130
2,55,82,47,40,12,94,79
3,85,35,30,30,111,600,93
4,38,5,45,35,65,969,48
5,0,45,20,80,149,429,73
6,20,80,25,30,141,786,76
7,60,80,48,40,37,129,75
8,27,43,70,58,42,523,84
9,42,15,30,50,10,152,58
10,2,45,50,30,45,610,79
11,20,85,65,82,41,336,73
12,55,80,33,35,16,308,79
13,85,25,28,55,51,777,104
14,44,5,20,85,87,528,128
15,2,40,75,55,58,420,112
16,22,75,44,5,50,347,126
17,58,75,88,30,92,643,82
18,85,35,0,45,111,624,140
19,38,5,20,55,65,504,83
20,8,40,70,58,59,523,96
21,15,75,40,5,79,436,127
22,67,85,28,52,139,883,77
23,95,30,15,75,115,254,136
24,44,5,65,60,87,708,95
25,45,30,15,80,53,345,88
26,25,85,25,55,145,701,49
27,60,80,28,52,37,883,79
28,85,25,30,52,51,965,99
29,42,15,0,45,122,624,77
30,10,40,75,55,119,420,101
31,22,85,30,30,109,600,84
32,55,82,40,5,64,436,132
33,88,30,30,30,74,600,87
34,38,15,20,55,148,504,66
35,8,45,45,35,64,969,61
36,18,75,2,40,95,434,73
37,55,80,35,5,33,629,119
38,85,25,33,35,16,280,89
39,42,10,48,40,72,272,61
40,2,40,45,30,58,777,67
41,20,82,88,35,37,170,125
42,67,85,38,15,139,740,114
43,88,35,28,30,61,693,95
44,44,5,25,52,87,224,79
45,8,40,65,55,59,144,88
46,18,75,53,30,95,505,97
47,67,85,45,30,139,777,89
48,88,35,45,65,61,1068,89
49,35,5,25,52,154,422,80
50,0,40,60,55,20,102,92
