订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,18,80,42,10,113,257,113
2,55,82,35,32,64,235,98
3,92,30,40,69,62,702,97
4,40,5,65,85,67,518,126
5,2,45,70,58,45,523,111
6,18,80,60,80,95,156,62
7,37,31,62,80,35,239,89
8,85,35,23,52,111,316,109
9,40,5,25,52,67,224,75
10,5,35,35,69,142,505,74
11,20,85,42,10,41,257,116
12,67,85,40,66,139,225,50
13,85,35,44,5,111,347,82
14,38,5,15,75,65,254,114
15,50,35,55,85,130,726,76
16,20,82,30,52,37,965,47
17,55,80,88,30,33,643,90
18,88,35,50,30,61,610,62
19,42,5,47,35,151,875,49
20,8,40,95,35,59,360,130
21,20,82,60,85,37,622,63
22,55,82,20,80,64,429,78
23,90,35,25,52,67,224,107
24,50,35,42,68,130,782,51
25,24,58,55,85,67,726,74
26,20,82,32,30,37,412,80
27,65,85,33,32,43,149,93
28,92,30,30,35,62,1127,91
29,42,10,60,60,72,889,95
30,27,43,40,5,42,436,59
31,15,80,10,35,91,237,75
32,55,82,47,40,12,94,79
33,92,30,65,60,62,708,61
34,38,15,20,80,148,429,102
35,2,40,33,32,58,149,49
36,22,75,55,80,50,820,60
37,65,85,10,40,31,431,107
38,85,25,48,40,51,129,68
39,49,42,38,5,167,534,57
40,8,45,65,55,64,372,93
41,18,75,87,30,95,731,133
42,65,82,25,50,65,154,77
43,85,25,20,85,51,528,138
44,42,12,60,60,104,889,83
45,10,40,40,5,119,436,70
46,20,85,33,35,16,268,76
47,65,85,23,55,43,593,78
48,90,35,23,55,67,593,112
49,38,15,10,40,31,178,57
50,2,40,42,68,58,782,74
