订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,82,40,5,37,436,119
2,65,82,25,52,124,224,75
3,85,35,38,68,111,324,101
4,38,15,95,30,148,456,89
5,2,40,45,30,58,777,67
6,25,85,30,52,145,965,55
7,60,80,0,40,37,522,124
8,95,30,67,85,115,441,96
9,42,5,5,35,151,344,72
10,5,45,38,5,35,534,84
11,22,75,47,35,50,875,86
12,55,80,88,30,33,643,90
13,92,30,47,40,12,92,67
14,26,35,40,5,77,436,50
15,0,45,55,80,149,820,107
16,18,80,30,52,113,965,47
17,58,75,35,5,92,629,111
18,92,30,47,40,12,92,67
19,42,10,30,52,72,965,80
20,0,40,47,40,12,102,70
21,20,85,50,40,41,218,80
22,60,85,30,35,85,1127,96
23,85,35,23,52,111,316,109
24,42,15,67,85,122,441,118
25,10,40,45,35,119,969,54
26,20,85,25,35,41,969,73
27,67,85,95,35,139,360,89
28,92,30,25,55,62,701,106
29,40,5,23,55,67,593,80
30,8,40,40,66,59,225,62
31,25,85,50,35,145,317,92
32,67,85,33,35,16,169,91
33,95,30,38,15,115,740,85
34,35,5,22,85,154,620,128
35,0,40,35,5,72,629,75
36,22,85,2,40,109,434,73
37,55,80,50,40,33,218,62
38,92,30,25,30,62,786,98
39,42,5,25,85,151,721,125
40,8,45,47,35,64,875,64
41,18,75,0,40,95,522,75
42,67,85,28,30,139,693,101
43,85,25,25,85,51,721,132
44,42,5,50,40,151,218,57
45,0,45,53,35,149,412,84
46,22,75,62,80,50,239,70
47,60,85,40,5,85,436,130
48,26,35,55,80,77,820,81
49,42,12,18,75,99,503,102
50,10,35,38,68,91,324,65
