订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,25,85,40,5,145,436,127
2,25,30,67,85,52,441,104
3,20,50,65,82,91,336,82
4,38,15,72,55,148,338,79
5,8,45,55,80,64,820,98
6,15,75,28,35,79,1066,79
7,30,25,25,85,96,721,91
8,88,30,20,85,74,528,132
9,35,5,22,85,154,620,128
10,2,40,42,68,58,782,74
11,18,80,44,5,113,347,121
12,65,82,95,35,124,360,84
13,88,35,20,85,61,528,137
14,40,5,58,75,30,382,109
15,2,45,35,30,45,321,57
16,20,85,75,55,41,420,96
17,55,82,48,40,64,340,78
18,88,35,25,50,61,413,104
19,42,12,66,55,104,238,81
20,8,40,44,5,59,347,76
21,15,75,85,35,47,527,129
22,60,85,47,40,12,115,77
23,90,35,45,68,67,967,93
24,44,5,15,75,87,254,116
25,21,24,20,85,87,528,93
26,25,85,5,35,145,344,82
27,65,82,0,40,124,522,117
28,85,25,38,5,51,534,90
29,38,5,50,35,65,317,50
30,8,40,35,69,59,505,60
31,20,82,25,35,37,969,70
32,65,85,20,50,43,405,86
33,85,25,60,55,20,256,63
34,42,10,65,85,72,518,133
35,8,40,40,69,59,702,65
36,15,80,55,85,91,726,59
37,65,85,92,30,43,551,91
38,90,35,23,52,67,316,110
39,38,5,15,80,65,345,121
40,10,40,65,60,119,708,88
41,25,30,60,80,52,156,92
42,65,85,28,30,43,693,99
43,85,25,35,32,51,235,86
44,44,5,50,35,87,317,52
45,10,35,88,35,91,443,123
46,15,80,90,35,91,260,130
47,60,80,48,40,37,129,75
48,85,25,25,50,51,407,105
49,38,5,35,69,65,505,99
50,8,40,20,85,59,528,72
