订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,25,85,25,30,52,2279,86
2,60,85,15,80,91,757,84
3,36,18,15,80,91,1979,109
4,40,5,18,80,113,1510,118
5,0,45,63,65,30,1318,106
6,56,64,6,68,89,1515,90
7,48,30,65,82,124,653,82
8,75,55,8,40,59,2085,102
9,45,70,65,20,39,373,88
10,30,50,58,75,10,170,68
11,25,85,55,82,64,2279,63
12,62,80,15,60,155,1041,87
13,85,25,38,5,65,2673,90
14,38,10,55,80,33,1790,106
15,8,45,61,52,178,1506,86
16,25,35,87,30,131,2545,94
17,48,30,88,35,61,653,64
18,75,55,22,75,50,2085,84
19,45,70,21,24,87,373,79
20,25,52,40,5,67,369,75
21,18,75,0,45,149,2471,68
22,56,64,10,35,91,1515,92
23,16,42,22,85,109,657,78
24,40,5,72,35,116,1510,66
25,0,40,15,75,79,1223,59
26,33,35,65,35,52,2733,59
27,47,40,44,5,12,172,54
28,72,55,21,24,87,1992,90
29,45,70,26,35,77,373,61
30,62,69,56,37,34,1327,68
31,18,75,42,5,151,2471,125
32,55,80,20,50,91,567,77
33,52,75,5,5,74,471,138
34,42,10,30,60,140,1320,91
35,5,35,18,80,113,1036,73
36,30,35,40,5,67,2640,47
37,50,40,95,30,25,185,73
38,65,55,88,35,61,1896,46
39,35,69,67,5,144,2858,109
40,20,50,15,10,152,558,72
41,18,75,2,40,58,2471,73
42,55,80,85,25,51,567,94
43,85,35,50,35,130,2863,64
44,35,5,55,54,132,1695,82
45,0,40,18,75,95,1223,60
46,35,32,65,55,65,2918,68
47,47,40,42,10,12,172,48
48,72,55,60,85,85,1992,49
49,40,65,25,30,25,185,60
50,25,52,56,37,34,369,52
