订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,41,37,133,2186,79
2,65,82,37,47,86,948,68
3,87,30,2,40,58,2768,129
4,35,5,26,52,46,1695,79
5,0,45,53,43,14,1318,84
6,26,32,85,25,51,2452,88
7,53,35,15,10,152,373,68
8,72,55,21,24,87,1992,90
9,35,69,88,30,74,2858,98
10,30,56,55,80,33,3143,71
11,20,80,27,43,42,2376,57
12,55,80,20,85,41,567,67
13,90,35,57,48,95,2291,61
14,42,10,61,52,178,1320,85
15,5,45,55,85,128,1413,113
16,33,35,20,80,141,2733,80
17,53,30,5,35,142,468,76
18,70,58,40,5,67,1801,95
19,45,65,95,30,115,278,105
20,20,50,55,60,139,558,54
21,52,75,25,30,52,471,90
22,55,80,42,5,151,567,116
23,92,30,24,58,67,2574,109
24,36,18,85,35,111,1979,82
25,5,45,50,35,130,1413,81
26,30,32,62,80,75,2265,87
27,45,35,90,35,67,840,65
28,70,58,42,5,151,1801,93
29,35,66,67,5,144,2951,106
30,20,50,85,25,51,558,106
31,58,70,20,82,37,1233,63
32,42,58,0,40,8,168,82
33,90,35,5,45,35,2291,134
34,40,5,60,80,37,1510,117
35,10,40,23,3,150,753,59
36,25,35,63,23,87,2545,60
37,50,30,95,30,115,561,73
38,60,55,85,35,111,3279,59
39,40,65,38,15,25,185,78
40,30,56,42,15,122,3143,71
41,56,64,72,35,116,1515,50
42,58,75,49,42,167,1138,52
43,95,30,20,80,141,2481,134
44,35,5,67,5,144,1695,46
45,58,70,90,35,67,1233,82
46,33,35,92,30,62,2733,100
47,48,30,18,80,113,653,90
48,60,55,85,25,51,3279,70
49,40,65,20,20,25,185,77
50,25,50,20,82,37,276,48
