订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,86,46,567,2189,119
2,58,75,86,46,30,2189,61
3,90,35,38,10,203,1790,88
4,40,5,56,64,385,1515,92
5,0,45,78,40,567,2962,121
6,28,30,0,45,632,1318,54
7,48,30,90,35,632,2291,67
8,63,58,20,85,737,2094,76
9,35,69,65,55,448,1896,49
10,25,52,62,69,169,1327,62
11,20,80,85,25,384,2673,128
12,65,85,95,35,475,2386,87
13,85,35,33,35,47,2733,89
14,40,5,35,69,385,2858,97
15,10,40,45,35,31,840,54
16,32,30,78,40,359,2962,77
17,48,30,52,75,311,693,68
18,72,55,14,66,265,1803,89
19,45,68,72,45,912,3060,65
20,25,50,72,45,65,3060,74
21,15,80,60,55,278,3279,76
22,65,85,20,55,303,518,82
23,90,35,58,75,203,1138,89
24,35,5,18,75,562,2471,116
25,8,45,87,30,751,2768,124
26,35,32,5,35,166,1036,43
27,45,30,92,30,734,2574,74
28,75,55,28,52,22,420,70
29,45,70,64,46,825,3257,56
30,23,55,55,80,407,593,67
31,20,80,48,30,384,653,86
32,62,80,86,46,196,2189,68
33,88,35,55,85,109,662,102
34,40,15,86,46,35,2189,88
35,10,40,20,85,31,2094,70
36,35,30,45,65,118,321,62
37,53,30,35,66,450,2951,60
38,66,55,60,85,173,757,55
39,35,69,65,60,448,1706,47
40,20,50,72,55,358,1992,78
41,20,85,20,50,398,558,50
42,55,80,15,80,743,1997,73
43,92,30,30,56,478,3143,99
44,42,15,86,46,95,2189,90
45,8,45,35,5,751,1695,72
46,28,30,18,75,632,2471,71
47,47,40,86,46,12,2189,65
48,66,55,25,85,173,2279,90
49,40,66,86,46,170,2189,76
50,23,55,36,18,546,1979,59
