订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,18,75,0,45,99,1318,68
2,58,75,53,30,30,468,68
3,85,35,65,60,47,1706,63
4,38,15,52,75,311,740,93
5,8,40,95,35,87,2386,130
6,33,35,62,80,16,1041,93
7,50,40,2,40,171,1131,78
8,66,55,25,30,173,2360,86
9,42,65,50,35,15,280,52
10,20,55,48,30,449,653,56
11,20,80,65,60,384,1706,74
12,58,75,90,35,30,2291,77
13,90,35,5,45,203,1413,134
14,44,5,65,60,286,1706,95
15,8,45,55,85,502,816,103
16,28,30,22,75,632,2565,70
17,47,40,52,75,12,471,69
18,60,60,2,40,836,1131,93
19,42,65,47,35,15,748,51
20,25,55,72,55,622,1992,74
21,20,80,20,50,384,558,45
22,67,85,38,10,368,1790,121
23,88,35,60,60,109,1611,67
24,38,15,62,40,651,3161,52
25,2,40,35,69,383,2858,66
26,26,32,56,64,815,1515,66
27,50,40,62,69,171,1327,60
28,63,58,44,25,737,1031,63
29,35,66,95,35,357,2386,100
30,20,50,64,46,358,3257,67
31,15,80,45,35,278,840,83
32,60,85,25,85,561,2279,69
33,85,35,25,52,47,369,106
34,38,15,72,45,651,3060,69
35,0,45,42,30,567,936,69
36,30,30,62,80,541,1041,89
37,53,35,62,80,353,1041,73
38,65,55,40,5,85,1510,97
39,38,70,25,30,534,2360,65
40,20,55,38,5,449,1602,82
41,22,85,47,35,567,748,86
42,58,75,42,10,30,1320,101
43,87,30,15,75,668,1902,128
44,38,15,25,52,209,740,59
45,8,45,28,70,751,2761,60
46,35,32,8,62,166,1705,61
47,48,40,20,85,76,2094,95
48,63,58,0,45,737,1318,98
49,45,68,8,62,912,1705,56
50,25,50,95,35,65,2386,111
