订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,80,42,30,384,936,82
2,65,85,35,32,475,2918,91
3,92,30,5,45,478,1413,131
4,40,15,34,60,35,3047,70
5,0,45,62,69,567,1327,107
6,30,32,85,35,448,2863,83
7,45,30,40,65,25,777,58
8,75,55,40,65,25,420,54
9,40,66,36,18,170,1979,73
10,25,50,72,55,65,1992,73
11,20,80,47,35,384,748,79
12,65,85,20,50,398,558,86
13,85,35,45,65,47,278,90
14,42,15,45,65,95,278,80
15,10,35,44,25,200,1031,61
16,35,30,62,69,264,1327,81
17,45,30,10,40,593,777,71
18,75,55,40,5,369,1510,93
19,38,68,53,35,213,373,55
20,23,52,38,5,261,1602,76
21,18,75,65,82,99,948,75
22,60,85,64,46,561,3257,63
23,85,25,70,58,769,1801,57
24,35,5,67,85,562,854,132
25,10,35,72,55,200,1992,101
26,30,32,20,80,448,2376,74
27,50,30,16,42,497,657,58
28,75,55,55,85,369,662,55
29,38,68,5,45,255,1413,66
30,25,52,65,60,169,1706,62
31,20,80,20,50,384,558,45
32,67,85,50,40,25,441,72
33,88,35,35,32,109,2918,85
34,44,5,36,40,286,3016,57
35,5,35,25,85,283,2279,84
36,25,30,60,60,725,1611,69
37,47,40,86,46,12,2189,65
38,68,60,34,60,555,3047,47
39,40,66,33,35,170,2733,48
40,20,55,65,82,449,948,83
41,22,75,50,35,30,280,89
42,67,85,8,62,368,1705,96
43,90,35,35,5,203,1695,95
44,38,5,70,58,471,1801,94
45,10,35,42,30,200,936,56
46,33,35,65,82,16,948,98
47,53,30,25,52,209,505,54
48,60,55,67,85,20,854,44
49,40,66,48,20,170,1127,71
50,20,50,72,45,358,3060,79
