订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,85,30,32,475,2265,79
2,62,80,5,35,196,1036,120
3,88,30,20,80,574,2376,127
4,38,15,4,55,651,1607,79
5,0,45,40,65,25,624,76
6,25,35,85,25,912,2673,92
7,48,30,28,70,632,2761,70
8,66,55,35,69,173,2858,66
9,40,69,44,25,621,1031,65
10,25,52,92,30,169,2574,106
11,22,85,60,55,567,3279,78
12,60,80,22,66,95,2664,76
13,95,30,18,75,387,2471,132
14,44,5,5,35,286,1036,74
15,5,35,45,35,283,840,73
16,25,35,85,25,912,2673,92
17,50,30,10,40,531,753,66
18,66,55,30,32,173,2265,78
19,40,66,48,30,170,653,56
20,20,50,67,85,358,854,88
21,20,85,62,40,475,3161,92
22,60,80,47,40,12,172,76
23,87,30,8,62,668,1705,128
24,38,5,42,58,8,534,82
25,0,45,50,30,401,624,81
26,35,32,40,65,25,235,57
27,47,35,25,85,826,2279,87
28,70,58,14,66,458,1803,94
29,40,69,2,40,621,1131,73
30,28,55,36,18,732,1979,60
31,18,75,40,15,99,1225,110
32,62,80,25,85,196,2279,66
33,88,35,40,5,109,1510,86
34,40,5,92,30,385,2574,87
35,0,40,48,30,479,653,73
36,30,35,20,85,1054,2094,84
37,50,35,18,75,262,2471,77
38,65,55,35,69,85,2858,67
39,40,69,0,40,621,1223,75
40,30,50,20,80,10,2376,50
41,25,85,60,66,652,1421,74
42,55,80,8,62,743,1705,86
43,90,35,45,70,203,373,95
44,38,5,5,35,471,1036,72
45,0,45,85,35,567,2863,132
46,30,35,4,55,1054,1607,56
47,48,30,60,85,597,757,84
48,70,58,18,75,458,2471,92
49,40,69,30,35,621,2640,52
50,23,55,55,80,407,593,67
