订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,25,85,56,64,652,1515,70
2,65,85,50,35,120,518,78
3,88,30,40,15,574,1225,76
4,38,15,5,45,651,1413,67
5,5,35,85,35,283,2863,133
6,25,35,85,25,912,2673,92
7,47,40,95,35,12,2386,76
8,75,55,48,20,369,1127,67
9,42,66,75,55,65,2085,58
10,25,50,20,80,65,2376,45
11,15,80,40,15,278,1225,108
12,55,80,53,30,308,820,76
13,90,35,22,75,203,2565,127
14,44,5,70,58,286,1801,96
15,5,35,45,65,118,344,83
16,28,30,95,35,632,2386,102
17,50,40,85,25,171,2673,60
18,65,55,20,50,85,558,86
19,45,68,40,5,912,1510,99
20,25,52,64,46,169,3257,60
21,15,80,25,30,278,2360,81
22,67,85,65,55,368,1896,46
23,88,30,38,5,574,1602,84
24,38,5,36,40,471,3016,55
25,8,45,35,69,751,2858,65
26,28,30,65,60,632,1706,72
27,53,35,5,45,353,1413,73
28,60,55,15,75,20,1902,77
29,40,69,5,35,621,1036,74
30,25,52,58,70,169,1233,57
31,20,80,70,58,384,1801,82
32,58,75,2,40,30,1131,100
33,88,35,53,30,109,468,57
34,42,15,86,46,95,2189,90
35,2,40,34,60,383,3047,57
36,35,32,5,35,166,1036,43
37,45,35,38,5,916,1602,54
38,75,55,15,80,369,1997,97
39,35,69,30,35,448,2640,57
40,20,50,55,85,358,662,74
41,20,80,20,50,384,558,45
42,65,85,25,30,475,2360,102
43,87,30,10,40,593,753,117
44,44,5,53,35,213,373,54
45,5,45,65,82,665,948,122
46,25,30,72,55,725,1992,79
47,50,30,18,75,531,2471,82
48,65,60,20,55,303,708,66
49,40,66,92,30,170,2574,95
50,28,55,62,80,732,1041,76
