订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,18,75,36,40,99,3016,72
2,60,85,0,40,561,1223,125
3,88,35,45,65,109,278,89
4,40,5,35,69,385,2858,97
5,5,45,90,35,665,2291,141
6,25,30,55,80,407,786,89
7,45,30,8,45,734,1506,75
8,75,55,8,62,369,1705,100
9,35,69,8,40,448,845,70
10,20,55,92,30,449,2574,114
11,25,85,60,60,652,1611,78
12,58,75,90,35,30,2291,77
13,92,30,65,60,478,1706,61
14,35,5,10,40,562,753,75
15,2,40,75,55,383,2085,112
16,25,30,70,58,725,1801,79
17,47,40,95,30,12,2481,76
18,63,58,85,35,737,2863,59
19,38,68,35,5,255,1695,96
20,25,55,58,75,622,1138,64
21,25,85,42,30,652,936,92
22,62,80,8,45,196,1506,107
23,85,35,30,50,10,170,98
24,42,15,45,65,95,278,80
25,8,40,72,45,87,3060,96
26,28,35,86,46,1001,2189,92
27,45,30,25,85,734,2279,94
28,65,55,42,10,85,1320,89
29,35,66,2,40,357,1131,75
30,20,50,40,5,358,1510,82
31,15,75,5,45,179,1413,68
32,55,80,8,40,685,845,100
33,88,35,14,66,109,1803,129
34,42,10,56,64,186,1515,99
35,8,45,92,30,751,2574,131
36,33,32,56,64,68,1515,65
37,50,35,22,85,262,2186,86
38,75,55,35,32,369,2918,69
39,35,69,62,40,448,3161,60
40,28,55,75,55,732,2085,82
41,15,80,25,50,116,345,51
42,58,75,85,25,30,2673,86
43,90,35,60,55,203,3279,64
44,42,15,20,50,95,558,64
45,8,45,87,30,751,2768,124
46,30,35,20,80,1054,2376,77
47,48,40,86,46,76,2189,64
48,60,55,90,35,20,2291,64
49,38,68,75,55,255,2085,60
50,25,50,36,18,65,1979,56
