订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,85,25,109,2673,135
2,55,80,22,85,33,2186,65
3,90,35,10,35,67,941,124
4,40,15,42,58,8,168,67
5,26,52,40,15,46,1225,60
6,15,80,53,30,91,468,95
7,55,80,38,10,33,1790,111
8,88,35,35,5,61,1695,93
9,42,5,72,45,151,3060,79
10,10,35,95,30,91,2481,134
11,49,42,67,85,167,854,88
12,60,85,25,30,85,2360,107
13,92,30,25,85,62,2279,130
14,40,5,8,40,67,845,72
15,0,40,67,85,72,854,121
16,30,25,56,64,96,1515,71
17,67,85,0,40,139,1223,122
18,85,35,45,35,111,840,71
19,42,10,0,45,72,1318,92
20,10,40,62,69,119,1327,90
21,22,85,65,55,109,1896,85
22,67,85,35,32,139,2918,93
23,85,35,30,56,111,3143,101
24,44,5,16,42,87,657,71
25,56,37,25,85,34,2279,92
26,20,85,58,75,41,1138,63
27,67,85,38,15,139,1885,114
28,85,25,67,85,51,854,95
29,42,5,45,70,151,373,100
30,8,45,85,35,64,2863,120
31,15,80,47,35,91,748,84
32,65,82,45,35,124,840,77
33,95,30,60,60,115,1611,69
34,35,5,16,42,154,657,72
35,10,40,38,5,119,1602,68
36,18,80,55,80,113,567,55
37,67,85,50,35,120,280,80
38,95,30,25,35,115,2545,102
39,42,10,45,65,72,278,98
40,2,40,40,65,25,185,69
41,50,35,62,80,130,1041,70
42,55,80,95,30,33,2481,96
43,85,35,8,45,111,1506,128
44,40,5,34,60,67,3047,83
45,5,35,58,70,142,1233,104
46,50,35,20,80,130,2376,82
47,67,85,90,35,139,2291,85
48,90,35,60,60,67,1611,69
49,49,42,90,35,167,2291,68
50,5,35,36,40,142,3016,59
