订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,15,80,48,30,91,653,91
2,60,85,62,40,85,3161,72
3,85,35,20,80,111,2376,133
4,42,5,60,60,151,1611,90
5,10,40,87,30,119,2768,117
6,22,85,25,30,109,2360,83
7,67,85,4,55,139,1607,106
8,90,35,55,80,67,567,98
9,35,5,36,40,154,3016,58
10,0,45,72,55,149,1992,115
11,20,80,48,20,141,1127,100
12,55,82,20,55,64,463,89
13,87,30,15,80,131,1997,132
14,44,5,36,40,87,3016,57
15,2,40,60,60,58,1611,93
16,15,75,78,40,79,2962,116
17,56,37,95,30,34,2481,76
18,88,35,20,80,61,2376,132
19,40,5,35,69,67,2858,97
20,8,40,87,30,59,2768,119
21,25,85,67,85,145,854,81
22,58,75,5,35,92,1036,100
23,85,35,20,85,111,2094,138
24,40,5,0,45,67,1318,85
25,8,45,22,75,64,2565,63
26,15,75,48,30,79,653,96
27,60,85,8,40,85,845,115
28,95,30,48,30,115,653,67
29,42,10,5,45,72,1413,87
30,10,40,28,70,119,2761,53
31,15,80,25,30,91,2360,81
32,67,85,50,40,25,185,72
33,92,30,15,80,62,1997,137
34,38,15,65,60,148,1706,79
35,10,40,92,30,119,2574,124
36,22,85,67,85,109,854,78
37,62,80,85,35,75,2863,82
38,87,30,0,45,131,1318,133
39,42,5,8,62,151,1705,101
40,0,40,70,58,72,1801,108
41,18,75,86,46,95,2189,119
42,67,85,35,66,139,2951,56
43,95,30,50,35,115,280,65
44,44,5,34,60,87,3047,87
45,0,40,95,35,72,2386,142
46,18,75,87,30,95,2768,133
47,60,80,32,20,37,2073,113
48,88,30,34,60,74,3047,93
49,42,15,34,60,122,3047,72
50,8,45,53,35,64,373,72
