订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,85,33,35,16,528,76
2,60,80,20,50,95,405,90
3,95,30,8,45,387,816,129
4,38,15,5,35,283,740,58
5,5,35,45,70,283,870,87
6,28,30,35,69,448,693,61
7,53,30,0,45,450,624,85
8,65,60,25,55,622,708,59
9,42,66,30,30,65,600,59
10,20,50,68,60,358,612,73
11,18,75,48,30,99,693,93
12,65,82,44,5,285,677,120
13,90,35,60,55,20,260,64
14,38,15,23,55,546,740,65
15,0,40,53,35,353,522,79
16,35,30,42,66,65,321,62
17,45,35,18,75,99,969,82
18,65,55,90,35,85,260,48
19,35,69,0,40,448,744,80
20,30,52,22,85,567,965,55
21,22,85,25,30,567,786,83
22,58,75,92,30,30,551,85
23,90,35,65,60,203,708,64
24,38,15,30,52,651,965,57
25,8,45,70,58,458,816,101
26,30,30,62,80,196,600,89
27,50,40,10,35,171,237,65
28,66,55,28,55,173,777,72
29,40,69,30,30,541,702,60
30,28,55,40,5,385,777,81
31,18,75,95,30,99,456,143
32,65,85,8,45,475,816,105
33,92,30,65,60,478,708,61
34,42,15,8,45,95,816,68
35,10,40,40,15,31,100,59
36,26,32,55,80,743,880,86
37,50,35,23,52,261,317,48
38,70,58,10,35,200,523,103
39,45,70,35,32,166,870,61
40,28,52,38,5,471,883,77
41,18,75,70,58,99,523,89
42,60,80,28,35,95,1066,97
43,88,35,68,60,109,612,60
44,42,10,25,85,186,721,130
45,0,40,47,40,12,522,70
46,35,32,45,68,166,967,64
47,48,40,10,40,31,129,68
48,65,60,53,30,450,708,52
49,45,65,40,5,385,1068,98
50,25,55,53,35,353,701,53
