订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,75,55,369,620,98
2,65,85,35,30,264,518,94
3,90,35,40,15,35,260,83
4,40,5,66,55,173,436,85
5,2,40,18,75,99,434,58
6,30,30,88,35,109,600,90
7,45,30,18,75,99,777,87
8,65,60,8,40,87,708,89
9,40,69,8,45,621,816,61
10,20,50,44,5,286,405,84
11,18,75,66,55,99,238,86
12,60,85,53,35,353,622,81
13,85,35,47,40,12,124,69
14,42,15,85,25,95,820,77
15,5,35,47,40,12,344,76
16,25,35,35,66,357,969,60
17,53,30,25,55,450,701,57
18,72,55,35,32,166,338,66
19,35,69,53,35,353,505,59
20,20,55,53,35,353,504,58
21,15,80,44,5,278,694,124
22,62,80,30,32,196,509,97
23,95,30,25,35,387,969,102
24,40,5,60,60,385,889,88
25,10,40,85,25,31,820,115
26,28,30,67,85,368,693,101
27,50,30,60,85,531,622,82
28,60,55,30,32,20,509,67
29,45,70,92,30,478,870,104
30,25,55,53,30,450,701,57
31,25,85,45,35,652,969,88
32,55,80,28,52,743,883,65
33,85,25,30,52,769,965,99
34,35,5,55,80,562,820,120
35,0,40,67,85,368,522,121
36,30,35,92,30,478,1127,97
37,53,30,42,66,65,505,57
38,60,60,15,75,179,889,72
39,40,66,92,30,170,551,95
40,20,50,55,80,358,820,69
41,20,80,58,75,30,429,58
42,67,85,2,40,368,808,119
43,95,30,50,30,387,610,64
44,42,15,60,80,95,459,107
45,0,40,95,30,387,522,143
46,25,30,35,69,448,786,64
47,50,40,85,35,47,218,58
48,70,58,55,85,458,726,57
49,45,70,95,30,387,870,108
50,23,55,53,35,353,593,55
