订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,15,75,28,35,179,1066,79
2,65,82,25,35,285,969,93
3,95,30,72,55,265,456,52
4,35,5,62,80,196,629,123
5,5,45,95,30,387,716,149
6,33,32,70,58,68,523,75
7,47,35,88,35,109,875,60
8,66,55,40,15,35,238,83
9,38,70,8,45,534,816,64
10,30,50,68,60,10,612,73
11,18,75,10,40,31,148,69
12,62,80,15,80,196,345,81
13,85,25,23,55,546,820,111
14,38,5,38,70,471,605,100
15,10,40,87,30,31,731,117
16,33,35,38,68,16,324,62
17,45,35,44,5,286,969,51
18,72,55,40,15,35,338,77
19,35,66,70,58,357,523,52
20,20,55,50,35,262,504,54
21,22,85,55,80,567,820,60
22,65,85,15,80,278,518,79
23,88,30,47,40,12,643,63
24,38,15,2,40,383,740,66
25,0,40,60,85,479,622,113
26,32,30,2,40,359,434,48
27,53,35,87,30,353,731,60
28,75,55,40,15,35,420,80
29,42,66,40,15,35,146,79
30,23,55,45,30,546,777,50
31,18,75,92,30,99,551,139
32,60,80,20,50,95,405,90
33,88,35,2,40,109,434,135
34,44,5,72,55,265,347,94
35,8,45,35,30,264,816,48
36,25,35,15,75,179,969,77
37,45,30,38,70,534,777,66
38,65,60,26,32,645,880,72
39,42,66,88,30,65,643,92
40,30,50,95,35,10,360,116
41,22,75,5,35,30,344,79
42,65,85,10,35,200,518,112
43,87,30,35,5,562,731,87
44,42,15,90,35,95,260,88
45,0,45,55,80,567,820,107
46,35,30,85,35,47,321,90
47,53,30,28,55,450,777,53
48,75,55,25,50,65,420,74
49,45,70,95,30,387,870,108
50,25,50,60,85,65,622,75
