订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,70,58,458,620,89
2,67,85,48,30,368,693,88
3,90,35,20,50,203,405,113
4,42,10,25,50,65,257,79
5,0,40,32,30,359,522,50
6,28,30,88,30,574,693,92
7,47,35,40,5,385,875,51
8,72,55,42,15,95,338,75
9,45,68,47,35,826,967,55
10,20,50,65,60,358,708,69
11,25,85,58,75,30,721,68
12,65,85,92,30,475,551,91
13,88,35,32,30,109,412,89
14,44,5,0,45,286,624,89
15,10,35,40,15,35,237,64
16,30,30,45,68,541,967,61
17,50,30,8,45,531,816,70
18,60,60,22,75,30,889,62
19,38,70,28,35,534,1066,56
20,20,55,22,85,449,620,58
21,15,80,45,35,278,969,83
22,60,85,30,30,541,921,103
23,88,30,25,30,574,786,94
24,42,15,66,55,95,238,78
25,0,45,35,30,264,624,59
26,28,35,72,55,265,1066,77
27,53,30,42,68,450,782,59
28,68,60,92,30,478,612,74
29,35,69,88,35,109,505,94
30,25,55,65,85,475,701,81
31,20,80,45,30,384,777,84
32,67,85,50,40,171,441,72
33,90,35,45,68,203,967,93
34,35,5,18,75,99,629,116
35,0,40,53,35,353,522,79
36,25,30,65,60,645,786,75
37,48,30,0,40,479,693,83
38,60,60,0,45,567,889,93
39,40,66,32,30,170,412,56
40,28,52,75,55,369,883,79
41,22,75,70,58,30,523,89
42,65,85,8,40,87,518,110
43,92,30,68,60,478,612,59
44,38,15,25,55,622,740,64
45,5,45,85,35,47,716,133
46,35,30,75,55,264,420,83
47,48,40,67,85,76,441,87
48,65,60,35,32,166,708,62
49,40,66,35,5,170,629,92
50,23,52,70,58,261,523,71
