订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,25,85,2,40,383,721,76
2,67,85,30,50,10,441,77
3,88,30,30,32,448,643,87
4,44,5,53,35,286,412,54
5,10,35,42,68,200,782,69
6,26,32,90,35,203,880,95
7,50,30,42,66,65,610,54
8,66,55,8,40,87,238,105
9,40,66,42,15,95,225,77
10,20,55,75,55,369,504,84
11,15,75,26,32,179,880,83
12,65,85,0,45,475,624,116
13,88,35,38,70,109,605,101
14,42,10,40,66,170,442,99
15,2,40,20,85,383,528,73
16,28,30,88,30,574,693,92
17,47,35,88,30,574,875,61
18,63,58,35,32,166,802,62
19,42,65,35,30,15,321,58
20,28,52,95,30,387,883,114
21,20,85,28,30,475,693,81
22,55,80,53,30,450,820,76
23,95,30,65,85,387,518,97
24,44,5,35,66,286,410,96
25,10,35,38,68,200,324,65
26,25,35,65,82,285,969,100
27,53,35,20,85,353,528,91
28,65,60,95,30,387,708,75
29,35,69,47,40,12,505,49
30,23,52,90,35,203,316,103
31,18,75,50,35,99,317,89
32,67,85,25,50,65,441,82
33,87,30,50,40,171,731,58
34,42,10,25,35,186,969,58
35,0,40,45,30,479,777,69
36,30,35,90,35,203,1127,94
37,50,30,25,52,169,610,51
38,65,60,5,35,283,708,96
39,42,66,32,30,65,412,58
40,28,55,20,85,475,777,57
41,22,75,95,35,30,360,139
42,65,82,25,52,169,336,75
43,85,35,38,15,47,740,84
44,38,15,23,55,546,740,65
45,2,40,50,40,171,434,72
46,30,30,42,66,65,600,57
47,53,30,70,58,450,523,54
48,60,60,10,35,200,889,84
49,35,69,66,55,173,505,51
50,20,55,88,35,109,504,106
