订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,25,85,57,29,140,721,105
2,60,85,64,42,63,622,69
3,85,25,10,43,95,820,125
4,42,10,35,40,37,257,61
5,10,40,31,67,31,105,52
6,26,32,5,5,83,880,60
7,47,40,11,31,12,111,67
8,75,55,37,56,182,420,56
9,35,69,57,48,92,505,46
10,20,55,46,13,149,504,75
11,22,85,19,21,58,620,96
12,60,85,15,10,32,622,140
13,95,30,15,47,55,456,119
14,38,5,50,35,63,534,50
15,8,45,40,60,71,816,62
16,30,32,63,65,143,509,71
17,53,35,63,65,143,412,53
18,60,60,63,23,136,889,56
19,45,65,25,24,39,1068,73
20,20,55,11,14,69,504,69
21,25,85,57,29,140,721,105
22,67,85,63,23,136,441,94
23,87,30,20,65,67,731,114
24,35,5,15,77,73,629,120
25,0,45,37,31,95,624,62
26,26,32,57,29,140,880,45
27,47,40,11,14,12,284,75
28,72,55,11,14,69,338,111
29,42,65,40,25,15,95,65
30,30,50,20,20,10,144,56
31,18,75,55,60,97,345,68
32,65,82,30,60,124,336,63
33,88,30,6,38,32,643,124
34,40,5,2,60,41,436,101
35,10,35,61,52,96,237,84
36,30,32,62,77,51,509,83
37,53,35,10,43,95,412,65
38,63,58,45,10,97,802,84
39,40,66,40,25,85,225,62
40,20,55,50,35,63,504,54
41,22,85,57,48,92,620,81
42,67,85,27,43,52,441,87
43,87,30,16,22,91,731,108
44,35,5,20,40,87,629,66
45,0,40,27,69,34,522,60
46,25,35,55,5,68,969,64
47,48,40,16,22,76,292,62
48,65,55,24,58,58,144,80
49,38,68,56,39,142,324,52
50,25,52,46,13,149,224,67
