订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,37,31,95,620,85
2,60,80,11,31,95,543,119
3,90,35,23,3,132,260,113
4,40,5,27,43,52,436,61
5,10,35,30,5,61,237,66
6,30,35,42,7,97,1127,45
7,45,30,49,73,127,777,68
8,60,55,17,34,20,172,81
9,42,66,22,27,65,146,67
10,20,55,61,52,96,504,62
11,15,80,35,40,37,345,70
12,60,85,31,67,95,622,64
13,92,30,46,13,149,551,72
14,40,5,12,24,76,436,51
15,8,40,46,13,87,159,70
16,35,30,55,60,97,321,64
17,48,30,11,14,69,693,74
18,65,60,15,60,76,708,73
19,38,68,42,7,97,324,93
20,25,55,18,24,188,701,47
21,20,85,36,26,200,528,90
22,55,80,26,27,100,820,95
23,87,30,22,27,135,731,98
24,38,5,57,48,92,534,72
25,5,35,23,3,132,344,72
26,35,32,65,20,166,235,61
27,48,30,40,60,71,693,48
28,66,55,25,30,99,238,86
29,42,65,35,17,15,243,77
30,30,50,19,21,10,73,55
31,15,75,36,26,179,499,95
32,65,85,6,38,32,518,114
33,95,30,56,39,142,456,57
34,42,10,10,20,75,257,58
35,10,35,67,5,83,237,106
36,25,35,55,20,149,969,50
37,45,30,5,5,83,777,92
38,66,55,17,34,162,490,95
39,45,70,15,47,55,870,57
40,28,55,45,20,62,777,63
41,20,85,10,20,75,528,97
42,65,85,32,12,101,518,120
43,85,25,20,40,87,820,109
44,35,5,49,58,88,629,86
45,0,45,25,24,39,624,50
46,30,32,57,48,92,509,48
47,50,40,15,19,160,384,63
48,72,55,2,60,41,338,106
49,35,66,45,30,132,410,60
50,30,52,19,21,58,965,53
