订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,85,23,3,132,528,121
2,62,80,15,10,32,239,137
3,88,35,19,21,58,170,109
4,44,5,65,35,153,347,63
5,5,45,41,49,161,716,69
6,30,35,61,52,96,1127,59
7,53,35,15,77,73,412,86
8,72,55,57,29,140,338,46
9,35,66,44,17,78,410,79
10,25,50,65,55,65,144,63
11,25,85,12,24,76,721,95
12,60,80,47,47,95,156,67
13,95,30,4,18,94,456,134
14,42,15,13,52,95,175,71
15,2,40,35,17,50,434,61
16,33,32,15,60,68,149,51
17,47,40,13,52,12,175,70
18,70,58,31,67,95,523,70
19,38,68,5,5,83,324,110
20,25,52,46,13,149,224,67
21,22,85,20,26,83,620,88
22,65,85,37,47,50,518,71
23,87,30,25,24,39,731,94
24,38,15,55,45,116,740,52
25,5,45,37,31,95,716,63
26,30,32,64,42,63,509,54
27,53,30,62,77,51,505,74
28,68,60,15,30,34,612,90
29,45,65,5,30,157,1068,82
30,30,50,30,5,10,246,78
31,20,80,4,18,94,429,97
32,58,75,53,12,30,140,95
33,85,25,31,52,50,820,98
34,38,5,53,52,37,534,76
35,10,35,41,37,39,237,52
36,28,35,49,11,69,1066,48
37,53,30,10,43,95,505,70
38,68,60,25,24,39,612,84
39,40,69,20,20,134,702,79
40,20,55,5,5,83,504,85
41,20,85,37,56,182,528,50
42,58,75,11,14,30,462,116
43,92,30,20,40,87,551,107
44,38,5,27,43,52,534,63
45,5,45,63,23,136,716,103
46,28,30,63,23,136,693,56
47,53,30,20,40,87,505,54
48,72,55,15,47,55,338,87
49,42,68,44,17,78,782,78
50,20,55,50,35,63,504,54
