订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,18,75,23,3,99,447,123
2,55,80,4,18,94,820,126
3,92,30,42,7,97,551,81
4,44,5,4,18,94,347,62
5,0,40,44,17,78,522,74
6,30,32,53,52,37,509,46
7,53,30,15,77,73,505,91
8,72,55,65,20,172,338,54
9,40,66,6,38,32,225,67
10,23,55,42,7,97,593,78
11,20,80,41,49,161,429,57
12,67,85,45,30,132,441,89
13,87,30,45,20,62,731,65
14,44,5,37,47,50,347,68
15,8,45,56,37,182,816,77
16,35,30,55,60,97,321,64
17,53,30,45,65,126,505,54
18,72,55,32,12,101,338,89
19,42,66,15,47,55,146,50
20,23,52,11,14,69,316,63
21,25,85,42,7,97,721,125
22,58,75,17,34,30,172,87
23,85,35,49,73,47,137,94
24,38,5,10,43,95,534,75
25,2,40,24,12,31,434,54
26,28,35,23,3,132,1066,50
27,48,30,12,24,76,693,67
28,60,60,42,7,97,889,84
29,42,65,49,11,15,283,87
30,20,50,62,77,51,405,74
31,22,75,41,49,30,171,64
32,55,80,45,20,62,820,93
33,87,30,65,55,117,731,50
34,44,5,26,35,176,347,54
35,8,45,46,13,149,816,75
36,35,32,65,20,166,235,61
37,50,35,11,31,101,317,59
38,66,55,25,24,39,238,91
39,38,68,17,34,162,324,64
40,25,55,55,60,97,701,50
41,18,75,47,16,35,148,112
42,60,85,20,20,134,622,123
43,85,35,26,52,47,407,105
44,38,15,20,40,87,740,47
45,2,40,45,65,126,434,75
46,33,32,55,60,68,149,60
47,45,30,15,19,160,777,68
48,60,55,60,12,20,232,77
49,40,66,21,24,18,225,70
50,25,52,35,17,50,224,55
