订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,82,25,24,37,289,87
2,60,85,40,60,71,291,58
3,85,35,32,12,101,421,94
4,40,15,37,56,92,192,64
5,5,45,49,11,35,371,91
6,25,85,49,11,69,501,123
7,67,85,49,58,88,169,49
8,92,30,41,49,62,171,80
9,42,15,55,45,116,320,56
10,0,45,37,56,149,381,65
11,22,85,26,27,100,364,88
12,65,85,65,55,43,127,44
13,30,25,49,73,96,404,78
14,42,5,13,52,151,455,84
15,10,40,47,47,119,359,57
16,18,75,42,7,95,503,122
17,67,85,41,37,39,169,82
18,88,35,26,52,61,417,104
19,44,5,55,54,87,359,81
20,2,40,45,20,58,310,72
21,22,85,16,22,91,367,95
22,58,75,21,24,18,122,95
23,87,30,19,21,58,161,103
24,44,5,41,37,39,117,53
25,0,45,57,29,140,432,92
26,22,85,13,52,109,175,51
27,60,85,19,21,58,518,123
28,87,30,11,31,101,409,115
29,42,5,53,43,151,363,63
30,10,35,55,45,91,311,73
31,22,85,45,65,109,297,51
32,58,75,5,5,83,575,132
33,87,30,25,30,99,347,93
34,40,15,61,52,92,404,68
35,30,25,49,58,88,336,58
36,22,75,53,43,50,189,82
37,67,85,15,77,73,169,81
38,88,30,6,38,32,392,124
39,38,5,10,43,65,345,75
40,2,45,53,52,37,309,84
41,15,75,45,65,79,279,54
42,60,85,45,10,85,485,121
43,88,35,20,20,61,393,108
44,38,15,20,50,81,178,60
45,0,45,36,26,149,369,63
46,20,85,42,7,41,441,120
47,60,85,26,27,85,493,110
48,87,30,45,30,131,299,63
49,42,10,47,47,72,296,71
50,10,40,15,77,73,149,57
