订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,16,22,91,367,95
2,67,85,65,20,139,407,98
3,27,43,5,5,42,354,64
4,35,5,5,30,154,414,70
5,10,35,49,73,91,399,82
6,25,85,28,18,93,413,104
7,58,75,12,24,76,464,104
8,92,30,67,5,62,262,54
9,24,58,23,3,67,307,82
10,5,45,56,37,35,192,90
11,20,85,25,24,39,303,90
12,58,75,6,68,92,328,79
13,95,30,19,21,58,398,111
14,24,58,26,27,67,199,46
15,2,45,67,5,45,465,116
16,25,85,49,58,88,175,65
17,65,85,17,34,43,172,105
18,26,52,63,65,46,153,59
19,42,10,17,34,72,172,63
20,10,35,55,54,91,347,76
21,18,80,27,43,52,143,59
22,55,82,57,48,64,272,63
23,85,25,62,77,51,367,87
24,38,5,65,55,65,373,86
25,5,45,15,10,32,236,58
26,22,85,49,11,69,489,120
27,60,85,40,60,71,291,58
28,90,35,40,25,67,307,79
29,30,25,45,65,96,356,65
30,10,35,40,60,71,291,60
31,22,75,15,30,34,282,83
32,65,85,35,17,43,435,111
33,88,35,11,31,61,393,121
34,25,30,55,20,52,159,48
35,0,45,22,22,18,179,48
36,22,85,45,65,109,297,51
37,65,82,56,37,124,192,69
38,87,30,37,47,50,161,80
39,38,5,57,68,65,393,100
40,0,40,30,60,72,134,54
41,20,80,6,38,32,171,67
42,60,80,8,56,37,397,101
43,50,35,10,43,95,160,62
44,44,5,20,26,83,263,48
45,50,35,21,24,18,160,47
46,18,80,57,29,113,473,97
47,55,80,49,11,33,357,105
48,90,35,62,77,51,371,88
49,38,5,15,47,55,331,76
50,2,40,53,43,58,189,77
