订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,22,85,35,40,37,139,72
2,60,85,20,65,67,347,81
3,85,35,25,24,39,141,101
4,44,5,14,37,44,117,66
5,5,35,37,31,95,172,63
6,18,75,57,68,77,301,66
7,60,85,11,31,85,537,120
8,88,35,26,27,61,341,98
9,42,10,15,77,72,488,122
10,8,40,56,39,59,152,72
11,20,82,63,23,37,146,110
12,60,85,25,21,85,521,118
13,88,30,47,47,74,134,67
14,40,5,50,35,63,97,48
15,0,45,55,20,149,469,92
16,20,82,24,12,31,327,105
17,65,82,56,37,124,192,69
18,95,30,41,49,115,407,83
19,45,30,65,55,53,127,49
20,5,45,53,12,35,140,96
21,15,80,25,30,91,331,81
22,60,80,11,14,37,553,138
23,85,25,53,12,51,140,65
24,20,50,55,20,91,367,73
25,5,35,46,13,142,458,86
26,30,25,5,5,83,126,49
27,65,82,20,20,124,552,115
28,87,30,47,47,124,352,66
29,44,5,25,30,87,263,48
30,0,45,35,69,141,417,73
31,25,85,20,26,83,339,91
32,65,82,41,49,124,171,62
33,85,25,53,12,51,140,65
34,40,5,27,69,34,342,98
35,2,40,44,17,58,318,72
36,18,80,41,37,39,143,74
37,55,82,41,37,39,355,87
38,85,25,53,12,51,140,65
39,35,5,13,52,154,470,87
40,5,35,65,20,142,506,108
41,18,75,26,35,95,186,76
42,62,80,16,22,75,531,122
43,88,30,15,60,74,486,118
44,42,10,57,48,72,340,77
45,2,45,50,35,45,277,78
46,20,80,17,34,141,337,70
47,55,80,32,12,33,421,111
48,95,30,13,52,115,531,124
49,38,15,41,49,148,296,52
50,5,35,20,65,67,172,55
