订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,18,75,88,35,61,541,130
2,67,85,88,30,74,441,91
3,92,30,40,5,67,551,85
4,38,15,90,35,67,740,84
5,5,45,55,80,33,716,108
6,28,35,22,75,50,1066,71
7,45,30,90,35,67,777,70
8,75,55,2,60,77,420,109
9,45,68,4,18,120,967,97
10,28,52,65,20,39,883,80
11,18,75,92,30,62,578,139
12,60,80,10,35,91,527,116
13,88,35,42,12,104,380,79
14,38,5,8,45,64,534,79
15,10,40,62,80,31,105,99
16,33,35,2,40,16,88,50
17,53,30,40,60,144,505,49
18,65,55,12,24,85,477,109
19,40,66,87,30,131,225,89
20,28,52,63,23,87,883,75
21,22,75,55,20,30,438,112
22,65,85,0,45,149,518,116
23,88,30,20,85,41,643,132
24,38,5,18,80,113,534,120
25,8,45,18,75,95,816,61
26,30,30,67,85,139,600,99
27,47,35,10,20,42,875,68
28,65,55,4,18,85,533,124
29,38,68,55,20,83,324,77
30,23,52,88,35,61,316,100
31,15,75,60,85,85,254,71
32,60,80,42,5,95,523,128
33,90,35,30,60,140,260,105
34,44,5,26,52,46,347,78
35,8,45,62,80,75,816,106
36,30,32,5,5,74,509,56
37,53,30,15,10,152,505,73
38,63,58,12,24,90,802,95
39,42,66,15,80,65,146,45
40,23,55,40,5,67,593,80
41,20,80,40,15,92,429,103
42,67,85,45,30,53,441,89
43,87,30,20,85,41,731,131
44,35,5,6,68,89,629,113
45,2,40,42,15,122,434,71
46,25,35,15,80,91,969,84
47,45,35,35,69,180,969,61
48,65,60,88,30,74,708,67
49,42,68,8,56,90,782,55
50,25,50,4,18,65,150,62
