订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,18,75,12,24,90,374,92
2,65,82,35,69,180,336,50
3,88,30,15,80,91,643,133
4,40,5,22,75,50,436,109
5,0,45,85,35,111,624,132
6,35,32,0,45,149,235,55
7,50,35,20,85,41,317,88
8,72,55,42,12,104,338,79
9,38,68,56,37,34,324,54
10,20,55,95,35,62,504,117
11,15,80,26,35,77,345,74
12,65,82,67,5,144,336,116
13,85,35,42,5,47,181,85
14,38,15,37,47,86,740,49
15,10,40,65,85,31,495,107
16,30,35,85,35,111,1127,86
17,50,30,85,25,51,610,60
18,66,55,25,30,52,238,86
19,45,68,87,30,131,967,96
20,20,55,61,52,178,504,62
21,22,85,10,40,119,620,69
22,67,85,23,3,150,441,140
23,92,30,5,35,142,551,129
24,38,5,53,43,14,534,63
25,2,40,40,60,144,434,65
26,33,35,65,55,16,95,69
27,50,30,8,40,59,610,69
28,72,55,0,45,149,338,110
29,42,68,65,20,39,782,83
30,30,50,67,5,10,174,102
31,18,75,42,10,72,468,118
32,55,80,5,45,35,820,100
33,88,35,57,29,96,170,52
34,40,15,64,42,35,100,59
35,8,40,35,5,87,184,67
36,30,30,63,65,30,600,73
37,50,35,95,35,62,317,68
38,65,60,44,5,87,708,91
39,45,70,37,31,35,870,62
40,28,55,67,5,144,777,101
41,25,85,37,47,86,721,66
42,60,85,88,35,61,622,87
43,85,35,47,47,47,222,73
44,40,5,10,35,91,436,64
45,8,45,85,25,51,816,122
46,25,35,23,3,150,969,53
47,50,35,30,60,140,317,49
48,60,60,20,85,41,889,71
49,40,66,67,5,144,225,101
50,20,50,65,85,43,405,85
