订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,18,75,37,31,35,148,85
2,65,82,57,29,96,336,81
3,88,30,6,68,89,643,136
4,38,15,64,42,70,740,57
5,5,35,45,65,66,344,83
6,32,30,31,67,180,412,57
7,53,30,95,35,62,505,76
8,66,55,22,85,109,238,94
9,42,65,26,35,15,107,55
10,20,50,4,18,120,405,67
11,22,85,88,35,61,620,130
12,65,85,30,60,140,518,66
13,85,35,20,85,41,557,138
14,38,15,18,75,95,740,95
15,0,40,92,30,62,522,138
16,33,32,60,12,68,149,58
17,45,35,2,60,77,969,87
18,70,58,60,12,75,523,72
19,38,70,38,15,148,605,83
20,28,55,5,35,142,777,46
21,15,80,21,24,87,345,90
22,65,82,15,60,155,336,82
23,90,35,25,85,145,645,133
24,44,5,92,30,62,347,91
25,2,40,60,85,85,434,111
26,33,35,92,30,16,296,100
27,45,30,20,50,91,777,61
28,66,55,20,50,91,238,85
29,45,65,0,40,72,1068,78
30,23,52,5,5,74,316,79
31,18,75,57,48,95,399,81
32,65,85,42,12,104,518,114
33,88,30,65,55,65,643,51
34,40,5,95,30,115,436,91
35,8,40,65,20,39,158,90
36,25,35,2,60,77,969,68
37,50,35,2,45,45,317,74
38,68,60,30,60,140,612,53
39,35,69,4,18,120,505,98
40,20,55,10,20,42,504,62
41,22,85,65,82,124,620,75
42,60,85,88,35,61,622,87
43,87,30,40,15,92,731,75
44,40,5,85,25,51,436,74
45,8,40,55,20,83,158,76
46,33,32,2,60,68,149,63
47,45,35,55,85,128,969,81
48,60,55,8,56,20,120,84
49,40,69,87,30,131,702,92
50,23,52,95,35,62,316,111
