订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,15,80,60,80,37,121,65
2,60,85,38,15,85,493,117
3,88,35,30,25,61,333,92
4,38,5,90,35,65,393,90
5,8,45,37,31,35,94,50
6,15,75,0,45,79,179,71
7,60,80,18,75,37,125,79
8,95,30,8,45,64,472,129
9,40,5,18,75,67,435,111
10,8,45,55,82,64,440,100
11,18,80,65,20,39,143,115
12,50,35,31,67,130,210,56
13,88,30,41,37,74,163,71
14,40,5,55,80,33,393,115
15,31,52,88,35,41,377,102
16,15,80,35,40,11,121,70
17,67,85,8,45,64,169,107
18,87,30,2,60,77,537,136
19,42,15,0,45,122,410,77
20,5,45,50,35,35,160,81
21,15,75,65,82,79,307,78
22,55,82,8,40,59,495,117
23,21,24,55,20,83,283,58
24,38,5,8,56,65,405,93
25,8,40,45,65,59,355,67
26,20,85,42,5,41,181,123
27,65,82,25,30,52,154,99
28,21,24,60,85,85,485,108
29,42,10,5,35,72,172,77
30,5,35,47,47,142,222,77
31,22,85,65,82,109,325,75
32,24,58,60,80,37,317,75
33,92,30,60,80,37,365,91
34,42,10,18,75,72,468,118
35,5,45,42,15,35,152,79
36,15,80,65,20,39,479,118
37,67,85,65,20,39,169,98
38,95,30,38,15,115,403,85
39,31,52,65,82,41,154,79
40,2,45,67,85,45,169,124
41,24,58,92,30,62,446,113
42,55,80,88,30,33,365,90
43,88,35,25,85,61,175,131
44,42,10,67,85,72,528,134
45,10,40,63,65,30,149,88
46,20,85,38,5,41,433,121
47,37,31,61,52,35,208,50
48,90,35,31,67,67,210,109
49,38,5,20,82,37,433,122
50,2,45,55,60,45,169,90
