订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,18,75,65,82,95,311,75
2,67,85,15,60,139,447,87
3,92,30,2,40,58,458,134
4,42,15,27,43,42,152,50
5,25,30,30,60,52,170,46
6,20,82,35,5,37,184,117
7,60,85,6,68,85,409,99
8,31,52,65,82,41,154,79
9,42,15,85,25,51,152,77
10,8,45,22,85,64,320,77
11,18,80,5,5,74,442,117
12,67,85,20,82,37,169,73
13,95,30,0,45,115,555,141
14,42,10,18,75,72,468,118
15,5,35,57,48,95,379,92
16,25,85,5,45,35,175,68
17,65,82,37,47,86,154,68
18,87,30,10,20,42,161,117
19,42,5,2,45,45,181,85
20,0,45,55,20,83,179,92
21,20,82,55,60,37,169,63
22,65,82,65,35,52,154,71
23,88,30,31,52,41,357,92
24,25,30,60,80,37,417,92
25,5,35,49,58,86,172,84
26,25,85,40,15,92,472,113
27,26,52,10,20,42,234,54
28,85,25,10,20,42,418,124
29,49,42,23,3,150,418,71
30,5,35,49,58,86,172,84
31,20,85,2,60,41,107,46
32,58,75,8,56,90,366,81
33,92,30,65,55,62,270,55
34,42,15,0,45,122,410,77
35,10,40,88,35,61,149,118
36,22,85,21,24,87,343,92
37,65,85,61,52,43,208,49
38,88,35,60,12,61,265,55
39,42,10,58,75,72,452,116
40,8,40,67,5,59,174,103
41,15,75,57,29,79,471,105
42,65,82,8,40,59,154,107
43,85,25,22,75,50,518,126
44,35,5,65,20,39,184,49
45,10,35,18,80,91,303,67
46,30,25,55,80,33,126,91
47,60,85,85,35,85,385,85
48,95,30,18,80,113,621,136
49,26,35,56,37,34,107,46
50,0,40,63,65,30,382,101
