订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,85,55,80,33,193,58
2,65,82,35,5,124,552,124
3,56,37,92,30,34,254,72
4,38,15,65,85,43,178,113
5,5,35,40,15,92,172,77
6,22,75,67,5,50,174,140
7,65,85,42,5,43,181,124
8,85,35,53,43,14,141,62
9,44,5,26,35,77,269,54
10,37,31,4,18,35,150,74
11,18,75,27,43,42,125,64
12,55,82,88,30,64,404,96
13,92,30,41,37,62,163,75
14,40,15,22,85,92,524,110
15,10,35,22,75,50,121,61
16,50,35,87,30,130,338,57
17,67,85,42,15,122,502,112
18,37,31,90,35,35,271,77
19,42,12,88,30,74,402,86
20,2,45,30,60,45,170,57
21,45,30,88,30,53,104,65
22,26,35,72,35,77,146,69
23,95,30,30,60,115,495,105
24,40,5,90,35,67,387,88
25,5,35,42,12,104,408,82
26,18,75,49,58,86,318,62
27,55,80,60,12,33,325,103
28,88,30,35,40,11,104,81
29,42,5,15,75,79,181,114
30,21,24,65,82,87,495,109
31,15,80,65,35,52,432,101
32,60,85,37,31,35,383,96
33,95,30,15,80,91,611,140
34,44,5,57,48,87,343,74
35,8,40,38,15,59,178,59
36,22,85,40,5,67,475,124
37,55,82,38,15,64,178,119
38,87,30,62,80,75,161,84
39,40,5,2,40,58,350,78
40,10,35,95,35,62,442,133
41,20,85,62,80,41,105,68
42,65,85,2,60,43,395,104
43,87,30,50,35,130,298,57
44,44,5,64,42,70,330,71
45,49,42,20,50,91,197,59
46,18,80,0,40,72,143,70
47,31,52,65,85,41,349,82
48,87,30,45,65,66,161,83
49,35,5,61,52,154,446,83
50,2,45,88,30,45,449,135
