订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,25,85,38,15,651,2279,112
2,65,82,38,15,651,948,109
3,92,30,30,32,448,2574,91
4,36,18,65,85,475,1979,118
5,5,45,35,32,166,1413,59
6,26,32,87,30,668,2452,90
7,53,35,65,82,213,373,78
8,72,45,38,15,651,3060,89
9,40,65,5,45,25,716,63
10,16,42,42,68,497,782,72
11,25,85,90,35,203,2279,135
12,65,82,30,32,448,948,92
13,92,30,18,75,99,2574,129
14,40,15,68,60,555,1225,84
15,5,35,53,30,450,1036,86
16,30,32,75,55,369,2265,76
17,47,35,8,40,87,748,67
18,65,60,28,55,732,1706,54
19,35,66,65,60,645,2951,44
20,20,55,47,40,12,463,46
21,20,80,55,80,743,2376,53
22,60,85,66,55,173,757,49
23,85,25,42,68,727,2673,96
24,38,10,60,80,95,1790,108
25,8,40,66,55,173,845,89
26,33,32,22,85,567,2826,84
27,53,35,92,30,213,551,67
28,65,60,95,30,387,1706,75
29,36,18,38,70,534,1979,88
30,30,56,55,80,743,3143,71
31,22,75,25,30,725,2565,83
32,67,85,28,52,694,883,77
33,85,35,0,40,479,2863,139
34,16,42,42,10,186,657,74
35,2,40,60,60,836,1131,93
36,33,35,35,5,562,2733,48
37,53,30,42,68,308,782,59
38,65,60,23,55,546,1706,62
39,35,69,67,85,368,2858,58
40,25,52,63,58,209,802,58
41,25,85,20,55,449,2279,48
42,60,85,26,32,597,880,104
43,95,30,60,80,95,2481,94
44,38,5,66,55,173,1602,87
45,8,40,47,40,12,845,58
46,35,32,38,68,255,2918,61
47,48,30,65,55,85,653,45
48,72,55,40,66,170,1992,51
49,35,69,75,55,369,2858,64
50,20,55,25,85,303,721,58
