订单序,O_X,O_Y,D_X,D_Y,Ready Time,Due Date,Order_Revenue
1,20,85,60,55,20,2094,76
2,65,82,25,35,788,969,93
3,85,35,35,5,562,2863,94
4,35,5,0,40,479,1695,85
5,0,45,70,58,458,1318,113
6,25,35,70,58,458,2545,80
7,53,30,60,85,308,622,85
8,72,55,26,32,815,1992,78
9,45,70,30,32,213,509,63
10,20,50,22,85,398,620,57
11,15,80,85,25,769,1997,133
12,62,80,8,45,751,1041,107
13,85,25,25,50,65,2673,105
14,38,5,15,80,278,1602,121
15,0,40,45,68,912,1223,79
16,30,32,15,75,179,2265,69
17,53,35,85,35,47,373,56
18,60,55,85,35,47,3279,59
19,35,66,62,80,196,2951,45
20,20,55,40,15,35,463,68
21,22,85,35,32,166,2186,83
22,62,80,48,40,76,1041,73
23,85,25,70,58,458,2673,57
24,40,15,65,55,85,1225,75
25,0,40,53,30,450,1223,80
26,33,32,88,35,109,2826,91
27,48,30,45,68,493,967,58
28,65,60,50,30,531,1706,53
29,45,65,88,35,109,278,92
30,58,70,30,52,914,1233,60
31,18,75,95,35,293,2471,139
32,60,85,10,35,200,757,117
33,87,30,5,45,665,2768,126
34,38,10,60,60,836,1790,81
35,10,35,55,80,743,941,96
36,35,32,0,40,479,2918,52
37,47,35,60,80,95,748,73
38,65,55,35,30,264,1896,74
39,58,70,88,35,109,1233,80
40,20,50,38,15,398,740,66
41,25,85,30,32,448,2279,84
42,55,80,42,10,186,567,109
43,92,30,30,52,914,2574,97
44,42,10,67,85,368,1320,134
45,8,45,22,75,30,1506,63
46,25,35,62,80,196,2545,95
47,45,35,35,5,562,840,56
48,65,55,33,32,68,1896,75
49,40,65,30,30,25,600,58
50,28,52,72,55,22,338,74
